[13:50:17] === SOAR Learning Loop ===
[13:50:17] Split: training | Tasks: 200 | Stored rules: 80
[13:50:17] Log: logs/learn_20260429_135016.log
[13:50:17] 
[13:50:17] [1/200] c9680e90: CORRECT  rule=mirror_shoot_anchor  via=stored(c9680e90)  (0.2s)
[13:50:17] [2/200] 878187ab: CORRECT  rule=count_wedge_v_pattern  via=pipeline(steps=14)  (0.6s)
[13:50:18] [3/200] e5790162: CORRECT  rule=ricochet_ray  via=stored(e5790162)  (0.3s)
[13:50:18] [4/200] e9ac8c9e: CORRECT  rule=corner_quadrant_fill  via=stored(e9ac8c9e)  (0.4s)
[13:50:19] [5/200] 0e206a2e: CORRECT  rule=template_replication  via=stored(0e206a2e)  (0.8s)
[13:50:19] [6/200] 825aa9e9: CORRECT  rule=gravity_to_floor  via=stored(825aa9e9)  (0.3s)
[13:50:20] [7/200] 1c56ad9f: CORRECT  rule=zigzag_grid_shear  via=stored(1c56ad9f)  (0.9s)
[13:50:20] [8/200] c0f76784: CORRECT  rule=rect_interior_fill  via=stored(c0f76784)  (0.4s)
[13:50:21] [9/200] 60a26a3e: CORRECT  rule=diamond_connector  via=stored(60a26a3e)  (0.6s)
[13:50:21] [10/200] 8be77c9e: CORRECT  rule=stack_with_mirror  via=stored(8be77c9e)  (0.0s)
[13:50:22] [11/200] 332202d5: CORRECT  rule=cross_zone_fill  via=stored(332202d5)  (0.8s)
[13:50:22] [12/200] d23f8c26: CORRECT  rule=axis_line_keep  via=stored(d23f8c26)  (0.1s)
[13:50:22] [13/200] 6e82a1ae: CORRECT  rule=recolor_by_size  via=stored(6e82a1ae)  (0.3s)
[13:50:22] [14/200] 9f669b64: CORRECT  rule=barrier_passage  via=stored(9f669b64)  (0.3s)
[13:50:24] [15/200] afe3afe9: CORRECT  rule=hollow_square_gravity  via=stored(afe3afe9)  (1.3s)
[13:50:24] [16/200] 85c4e7cd: CORRECT  rule=concentric_ring_reverse  via=stored(85c4e7cd)  (0.4s)
[13:50:24] [17/200] c59eb873: CORRECT  rule=integer_upscale  via=stored(c59eb873)  (0.1s)
[13:50:25] [18/200] 13f06aa5: CORRECT  rule=anchor_dotted_ray  via=stored(13f06aa5)  (0.5s)
[13:50:25] [19/200] bbc9ae5d: CORRECT  rule=staircase_extend_right  via=stored(bbc9ae5d)  (0.1s)
[13:50:26] [20/200] 5a719d11: CORRECT  rule=panel_swap  via=stored(5a719d11)  (1.3s)
[13:50:28] [21/200] 7837ac64: CORRECT  rule=grid_summary_corners  via=stored(7837ac64)  (1.7s)
[13:50:28] [22/200] ce039d91: CORRECT  rule=axis_mirror_recolor  via=stored(ce039d91)  (0.3s)
[13:50:29] [23/200] 5daaa586: CORRECT  rule=directional_line_extract  via=stored(5daaa586)  (0.6s)
[13:50:29] [24/200] 7ddcd7ec: CORRECT  rule=diagonal_tail_extend  via=stored(7ddcd7ec)  (0.3s)
