[12:48:25] === SOAR Learning Loop ===
[12:48:25] Split: training | Tasks: 200 | Stored rules: 46
[12:48:25] Log: logs/learn_20260429_124825.log
[12:48:25] 
[12:48:25] [1/200] c9680e90: CORRECT  rule=mirror_shoot_anchor  via=stored(c9680e90)  (0.2s)
[12:48:25] [2/200] 878187ab: CORRECT  rule=count_wedge_v_pattern  via=pipeline(steps=14)  (0.5s)
[12:48:26] [3/200] e5790162: CORRECT  rule=ricochet_ray  via=stored(e5790162)  (0.2s)
[12:48:26] [4/200] e9ac8c9e: CORRECT  rule=corner_quadrant_fill  via=stored(e9ac8c9e)  (0.4s)
[12:48:27] [5/200] 0e206a2e: CORRECT  rule=template_replication  via=stored(0e206a2e)  (0.8s)
[12:48:27] [6/200] 825aa9e9: CORRECT  rule=gravity_to_floor  via=stored(825aa9e9)  (0.3s)
[12:48:28] [7/200] 1c56ad9f: CORRECT  rule=zigzag_grid_shear  via=stored(1c56ad9f)  (0.7s)
[12:48:28] [8/200] c0f76784: CORRECT  rule=rect_interior_fill  via=stored(c0f76784)  (0.4s)
[12:48:29] [9/200] 60a26a3e: CORRECT  rule=diamond_connector  via=stored(60a26a3e)  (0.6s)
[12:48:29] [10/200] 8be77c9e: CORRECT  rule=stack_with_mirror  via=stored(8be77c9e)  (0.0s)
[12:48:30] [11/200] 332202d5: CORRECT  rule=cross_zone_fill  via=stored(332202d5)  (0.8s)
[12:48:30] [12/200] d23f8c26: CORRECT  rule=axis_line_keep  via=stored(d23f8c26)  (0.1s)
[12:48:30] [13/200] 6e82a1ae: CORRECT  rule=recolor_by_size  via=stored(6e82a1ae)  (0.2s)
[12:48:30] [14/200] 9f669b64: CORRECT  rule=barrier_passage  via=stored(9f669b64)  (0.3s)
[12:48:31] [15/200] afe3afe9: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[12:48:32] [16/200] 85c4e7cd: CORRECT  rule=concentric_ring_reverse  via=stored(85c4e7cd)  (0.4s)
[12:48:32] [17/200] c59eb873: CORRECT  rule=integer_upscale  via=stored(c59eb873)  (0.1s)
[12:48:32] [18/200] 13f06aa5: CORRECT  rule=anchor_dotted_ray  via=stored(13f06aa5)  (0.5s)
[12:48:32] [19/200] bbc9ae5d: CORRECT  rule=staircase_extend_right  via=stored(bbc9ae5d)  (0.1s)
[12:48:34] [20/200] 5a719d11: CORRECT  rule=panel_swap  via=stored(5a719d11)  (1.3s)
[12:48:35] [21/200] 7837ac64: CORRECT  rule=grid_summary_corners  via=stored(7837ac64)  (1.5s)
[12:48:36] [22/200] ce039d91: CORRECT  rule=axis_mirror_recolor  via=stored(ce039d91)  (0.3s)
[12:48:36] [23/200] 5daaa586: CORRECT  rule=directional_line_extract  via=stored(5daaa586)  (0.6s)
[12:48:36] [24/200] 7ddcd7ec: CORRECT  rule=diagonal_tail_extend  via=stored(7ddcd7ec)  (0.3s)
