[12:54:59] === SOAR Learning Loop ===
[12:54:59] Split: training | Tasks: 200 | Stored rules: 75
[12:54:59] Log: logs/learn_20260429_125459.log
[12:54:59] 
[12:55:00] [1/200] c9680e90: CORRECT  rule=mirror_shoot_anchor  via=stored(c9680e90)  (0.2s)
[12:55:00] [2/200] 878187ab: CORRECT  rule=count_wedge_v_pattern  via=pipeline(steps=14)  (0.5s)
[12:55:00] [3/200] e5790162: CORRECT  rule=ricochet_ray  via=stored(e5790162)  (0.2s)
[12:55:01] [4/200] e9ac8c9e: CORRECT  rule=corner_quadrant_fill  via=stored(e9ac8c9e)  (0.4s)
[12:55:01] [5/200] 0e206a2e: CORRECT  rule=template_replication  via=stored(0e206a2e)  (0.7s)
[12:55:02] [6/200] 825aa9e9: CORRECT  rule=gravity_to_floor  via=stored(825aa9e9)  (0.3s)
[12:55:02] [7/200] 1c56ad9f: CORRECT  rule=zigzag_grid_shear  via=stored(1c56ad9f)  (0.8s)
[12:55:03] [8/200] c0f76784: CORRECT  rule=rect_interior_fill  via=stored(c0f76784)  (0.4s)
[12:55:03] [9/200] 60a26a3e: CORRECT  rule=diamond_connector  via=stored(60a26a3e)  (0.6s)
[12:55:03] [10/200] 8be77c9e: CORRECT  rule=stack_with_mirror  via=stored(8be77c9e)  (0.0s)
[12:55:04] [11/200] 332202d5: CORRECT  rule=cross_zone_fill  via=stored(332202d5)  (0.7s)
[12:55:04] [12/200] d23f8c26: CORRECT  rule=axis_line_keep  via=stored(d23f8c26)  (0.1s)
[12:55:05] [13/200] 6e82a1ae: CORRECT  rule=recolor_by_size  via=stored(6e82a1ae)  (0.2s)
[12:55:05] [14/200] 9f669b64: CORRECT  rule=barrier_passage  via=stored(9f669b64)  (0.3s)
[12:55:06] [15/200] afe3afe9: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[12:55:06] [16/200] 85c4e7cd: CORRECT  rule=concentric_ring_reverse  via=stored(85c4e7cd)  (0.4s)
[12:55:07] [17/200] c59eb873: CORRECT  rule=integer_upscale  via=stored(c59eb873)  (0.1s)
[12:55:07] [18/200] 13f06aa5: CORRECT  rule=anchor_dotted_ray  via=stored(13f06aa5)  (0.5s)
[12:55:07] [19/200] bbc9ae5d: CORRECT  rule=staircase_extend_right  via=stored(bbc9ae5d)  (0.1s)
[12:55:08] [20/200] 5a719d11: CORRECT  rule=panel_swap  via=stored(5a719d11)  (1.2s)
[12:55:10] [21/200] 7837ac64: CORRECT  rule=grid_summary_corners  via=stored(7837ac64)  (1.7s)
[12:55:10] [22/200] ce039d91: CORRECT  rule=axis_mirror_recolor  via=stored(ce039d91)  (0.3s)
[12:55:11] [23/200] 5daaa586: CORRECT  rule=directional_line_extract  via=stored(5daaa586)  (0.6s)
[12:55:11] [24/200] 7ddcd7ec: CORRECT  rule=diagonal_tail_extend  via=stored(7ddcd7ec)  (0.3s)
[12:55:13] [25/200] a2d730bd: CORRECT  rule=arrow_to_rectangle  via=stored(a2d730bd)  (1.4s)
[12:55:13] [26/200] 7f4411dc: CORRECT  rule=keep_solid_rectangles  via=stored(7f4411dc)  (0.4s)
[12:55:14] [27/200] 9f5f939b: CORRECT  rule=plus_center_marker  via=stored(9f5f939b)  (0.6s)
[12:55:14] [28/200] 93b581b8: CORRECT  rule=corner_diagonal_2x2  via=stored(93b581b8)  (0.1s)
[12:55:14] [29/200] 6350f1f4: CORRECT  rule=quadrant_repair  via=stored(6350f1f4)  (0.6s)
[12:55:14] [30/200] c8b7cc0f: CORRECT  rule=inside_marker_count_3x3  via=stored(c8b7cc0f)  (0.2s)
[12:55:15] [31/200] a5313dff: CORRECT  rule=rect_interior_marker_fill  via=stored(a5313dff)  (0.2s)
[12:55:15] [32/200] ed98d772: CORRECT  rule=rotational_quadrants_2x  via=stored(ed98d772)  (0.1s)
[12:55:15] [33/200] cf5fd0ad: CORRECT  rule=rotational_4fold  via=stored(cf5fd0ad)  (0.3s)
[12:55:16] [34/200] 84db8fc4: CORRECT  rule=interior_exterior_recolor  via=stored(84db8fc4)  (0.6s)
[12:55:16] [35/200] e9b4f6fc: CORRECT  rule=framed_recolor_legend  via=stored(e9b4f6fc)  (0.3s)
[12:55:17] [36/200] 642d658d: CORRECT  rule=plus_majority_color  via=stored(642d658d)  (1.0s)
[12:55:17] [37/200] 9b30e358: CORRECT  rule=tile_pattern_vertical  via=stored(9b30e358)  (0.1s)
[12:55:17] [38/200] b94a9452: CORRECT  rule=object_extract_swap  via=stored(b94a9452)  (0.3s)
[12:55:18] [39/200] 14b8e18c: CORRECT  rule=square_corner_marker  via=stored(14b8e18c)  (0.3s)
[12:55:18] [40/200] 705a3229: CORRECT  rule=corner_l_shoot  via=stored(705a3229)  (0.4s)
[12:55:19] [41/200] 15660dd6: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.9s)
[12:55:19] [42/200] 48131b3c: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[12:55:19] [43/200] c8f0f002: CORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.1s)
[12:55:19] [44/200] 332efdb3: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (0.1s)
[12:55:20] [45/200] 7d7772cc: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.5s)
[12:55:20] [46/200] cdecee7f: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[12:55:21] [47/200] 3194b014: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.9s)
[12:55:21] [48/200] 29623171: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[12:55:22] [49/200] bda2d7a6: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[12:55:22] [50/200] 22208ba4: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.7s)
[12:55:22] [51/200] 72207abc: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[12:55:23] [52/200] f5b8619d: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[12:55:23] [53/200] 09629e4f: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.6s)
[12:55:24] [54/200] 33b52de3: INCORRECT  rule=identity  via=pipeline(steps=14)  (1.0s)
[12:55:24] [55/200] 6d75e8bb: CORRECT  rule=bbox_fill  via=stored(6d75e8bb)  (0.2s)
[12:55:24] [56/200] 99b1bc43: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[12:55:25] [57/200] ac2e8ecf: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[12:55:26] [58/200] c62e2108: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.1s)
[12:55:27] [59/200] 3d31c5b3: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.3s)
[12:55:27] [60/200] 995c5fa3: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[12:55:28] [61/200] 985ae207: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.3s)
[12:55:28] [62/200] 5168d44c: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.3s)
[12:55:28] [63/200] a65b410d: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[12:55:28] [64/200] 67e8384a: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[12:55:29] [65/200] 62c24649: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[12:55:29] [66/200] e345f17b: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[12:55:29] [67/200] 59341089: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[12:55:30] [68/200] 070dd51e: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.7s)
[12:55:30] [69/200] 37ce87bb: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (0.2s)
[12:55:30] [70/200] 007bbfb7: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.2s)
[12:55:30] [71/200] 11852cab: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[12:55:30] [72/200] 506d28a5: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[12:55:31] [73/200] 845d6e51: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[12:55:31] [74/200] 445eab21: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[12:55:32] [75/200] 8731374e: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.9s)
[12:55:32] [76/200] e5c44e8f: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.3s)
[12:55:33] [77/200] b7cb93ac: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[12:55:33] [78/200] e5062a87: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.4s)
[12:55:33] [79/200] 1acc24af: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (0.5s)
[12:55:34] [80/200] e7a25a18: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.3s)
[12:55:34] [81/200] ce4f8723: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.2s)
[12:55:34] [82/200] 87ab05b8: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[12:55:34] [83/200] 31adaf00: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.4s)
[12:55:36] [84/200] d94c3b52: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[12:55:36] [85/200] 36d67576: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[12:55:37] [86/200] c658a4bd: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.4s)
[12:55:37] [87/200] e76a88a6: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[12:55:37] [88/200] 50a16a69: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[12:55:38] [89/200] 8fff9e47: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[12:55:38] [90/200] 0b148d64: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.7s)
[12:55:39] [91/200] b27ca6d3: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (0.5s)
[12:55:39] [92/200] 3aa6fb7a: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (0.1s)
[12:55:41] [93/200] 6ffe8f07: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (1.7s)
[12:55:42] [94/200] 8dae5dfc: INCORRECT  rule=identity  via=pipeline(steps=18)  (1.2s)
[12:55:42] [95/200] 0e671a1a: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (0.6s)
[12:55:43] [96/200] ea32f347: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.4s)
[12:55:43] [97/200] 6a11f6da: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.3s)
[12:55:43] [98/200] 9ddd00f0: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.3s)
[12:55:44] [99/200] 5117e062: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[12:55:44] [100/200] dae9d2b5: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.1s)
[12:55:44] [101/200] ac605cbb: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.5s)
[12:55:44] [102/200] 4df5b0ae: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[12:55:45] [103/200] ed74f2f2: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.1s)
[12:55:45] [104/200] f0100645: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[12:55:46] [105/200] 9d9215db: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.0s)
[12:55:48] [106/200] f3b10344: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (2.2s)
[12:55:48] [107/200] ec883f72: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.3s)
[12:55:49] [108/200] bbb1b8b6: INCORRECT  rule=identity  via=pipeline(steps=24)  (0.2s)
[12:55:50] [109/200] 4ff4c9da: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (1.6s)
[12:55:51] [110/200] 8dab14c2: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (1.2s)
[12:55:52] [111/200] d19f7514: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.2s)
[12:55:52] [112/200] 3f7978a0: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[12:55:52] [113/200] 7468f01a: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[12:55:52] [114/200] 0c786b71: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[12:55:52] [115/200] 662c240a: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
