[13:35:58] === SOAR Learning Loop ===
[13:35:58] Split: training | Tasks: 200 | Stored rules: 78
[13:35:58] Log: logs/learn_20260429_133558.log
[13:35:58] 
[13:36:23] [56/200] 99b1bc43: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:24] [57/200] ac2e8ecf: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[13:36:25] [58/200] c62e2108: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[13:36:25] [59/200] 3d31c5b3: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.3s)
[13:36:25] [60/200] 995c5fa3: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:27] [61/200] 985ae207: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.3s)
[13:36:27] [62/200] 5168d44c: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.3s)
[13:36:27] [63/200] a65b410d: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:36:27] [64/200] 67e8384a: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:27] [65/200] 62c24649: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[13:36:28] [66/200] e345f17b: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.2s)
[13:36:28] [67/200] 59341089: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:28] [68/200] 070dd51e: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.8s)
[13:36:29] [69/200] 37ce87bb: INCORRECT  rule=recolor_sequential  via=pipeline(steps=16)  (0.2s)
[13:36:29] [70/200] 007bbfb7: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.2s)
[13:36:29] [71/200] 11852cab: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.4s)
[13:36:29] [72/200] 506d28a5: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:30] [73/200] 845d6e51: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.7s)
[13:36:30] [74/200] 445eab21: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[13:36:31] [75/200] 8731374e: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.0s)
[13:36:32] [76/200] e5c44e8f: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.3s)
[13:36:32] [77/200] b7cb93ac: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.2s)
[13:36:32] [78/200] e5062a87: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.4s)
[13:36:33] [79/200] 1acc24af: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (0.5s)
[13:36:33] [80/200] e7a25a18: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.3s)
[13:36:33] [81/200] ce4f8723: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.1s)
[13:36:33] [82/200] 87ab05b8: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.1s)
[13:36:34] [83/200] 31adaf00: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (0.4s)
[13:36:35] [84/200] d94c3b52: INCORRECT  rule=identity  via=pipeline(steps=16)  (1.2s)
[13:36:35] [85/200] 36d67576: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[13:36:36] [86/200] c658a4bd: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.4s)
[13:36:36] [87/200] e76a88a6: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:36:36] [88/200] 50a16a69: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.6s)
[13:36:37] [89/200] 8fff9e47: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:36:37] [90/200] 0b148d64: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.7s)
[13:36:38] [91/200] b27ca6d3: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (0.5s)
[13:36:38] [92/200] 3aa6fb7a: INCORRECT  rule=color_mapping  via=pipeline(steps=14)  (0.1s)
[13:36:40] [93/200] 6ffe8f07: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (1.7s)
[13:36:41] [94/200] 8dae5dfc: INCORRECT  rule=identity  via=pipeline(steps=18)  (1.3s)
[13:36:42] [95/200] 0e671a1a: INCORRECT  rule=color_mapping  via=pipeline(steps=18)  (0.6s)
[13:36:42] [96/200] ea32f347: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.3s)
[13:36:42] [97/200] 6a11f6da: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.4s)
[13:36:43] [98/200] 9ddd00f0: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.3s)
[13:36:43] [99/200] 5117e062: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:36:43] [100/200] dae9d2b5: INCORRECT  rule=identity  via=pipeline(steps=20)  (0.1s)
[13:36:44] [101/200] ac605cbb: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.6s)
[13:36:44] [102/200] 4df5b0ae: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.3s)
[13:36:44] [103/200] ed74f2f2: INCORRECT  rule=identity  via=pipeline(steps=22)  (0.1s)
[13:36:44] [104/200] f0100645: INCORRECT  rule=identity  via=pipeline(steps=14)  (0.2s)
[13:36:45] [105/200] 9d9215db: INCORRECT  rule=identity  via=pipeline(steps=16)  (0.9s)
[13:36:48] [106/200] f3b10344: INCORRECT  rule=color_mapping  via=pipeline(steps=16)  (2.3s)
[13:36:48] [107/200] ec883f72: INCORRECT  rule=identity  via=pipeline(steps=18)  (0.3s)
